id1,id2,is_clone
6195313,23309807,1
8680491,12066447,1
19002156,20924118,1
1347808,20508693,1
427727,20508693,1
1158840,8702780,1
18880062,20826307,1
1446728,21161481,1
10337387,21161481,1
10264652,14417449,1
1008326,4603629,1
160739,15796840,1
19069826,23309803,1
10600673,19083252,1
7278557,10509561,1
1008326,3109015,1
1820410,14899566,1
20508693,23098143,1
19083252,19301681,1
1347808,5927306,1
2941028,7885446,1
1158840,2941028,1
732800,8680491,1
5724216,7087624,1
5856886,23098143,1
13122193,23383764,1
19002156,19344618,1
2109483,5856886,1
7885446,12066447,1
21520698,22102074,1
732800,1630148,1
4643706,16900369,1
4773756,14134127,1
5150160,22582847,1
16583451,20508693,1
5260867,23099329,1
13122193,23099329,1
17477953,20924118,1
18880062,23634465,1
10337387,11499032,1
413620,5927306,1
21161481,21234510,1
3351872,19565161,1
1605515,13356869,1
131720,272491,1
183254,336689,1
501808,19301681,1
11818436,15126545,1
7577030,17470307,1
7885446,16900369,1
19083252,22582847,1
771802,12066447,1
5856886,14417449,1
6128274,21125948,1
771802,10251387,1
19002156,20856391,1
8804480,21065519,1
7885446,14899566,1
4643706,23188868,1
1605515,20508693,1
1158840,17477953,1
15297120,19083252,1
53461,237568,1
6087658,8804480,1
12783713,23647453,1
1446728,6068118,1
418257,10118207,1
501808,6403868,1
413620,2775424,1
13356869,18880062,1
5260867,23098143,1
6068118,17068622,1
427727,19002156,1
10251387,23098143,1
8722190,19083029,1
2109483,17477953,1
8804480,10062086,1
16583451,23634465,1
16583451,18880061,1
14417449,23188868,1
3253024,4407823,1
2326683,9219797,1
418257,2775424,1
6403868,10912335,1
15796840,20924118,1
1630148,14899566,1
732800,6128274,1
501808,8722190,1
1605515,12783713,1
1116,17022288,1
427727,18880062,1
8680491,20953665,1
19660598,20826307,1
10912333,14417449,1
7278557,15297120,1
20080077,21125948,1
1347808,11277690,1
3861343,14417449,1
20826307,21125948,1
6087658,13946915,1
5260867,10264652,1
2109483,21161481,1
10912335,23383764,1
418257,7885446,1
951388,18880061,1
3253024,7015918,1
7577030,10912333,1
11277690,21125948,1
5953607,14196271,1
13657103,14134127,1
17022288,19301681,1
11818436,14134127,1
427727,10264652,1
418257,10254165,1
7885446,14417449,1
6068118,10254165,1
1446728,23188868,1
5352578,7278557,1
8680491,20080077,1
16583451,17477953,1
6128274,16900369,1
1347808,20826307,1
6403868,19344618,1
2096403,23160103,1
16900369,17068622,1
2941028,15796840,1
1820410,12783713,1
14783950,21161481,1
6403868,23160103,1
6068118,23098143,1
598994,771802,1
5927306,14196271,1
13657103,15126545,1
413620,21234510,1
3253024,7396681,1
2775424,10912335,1
762814,4643706,1
418257,5927306,1
10337387,13122193,1
2775424,19344618,1
427727,10118207,1
7396681,7655679,1
975289,8931241,1
598994,11499032,1
1630148,11277690,1
19344618,23188868,1
5953607,21125948,1
413620,23634465,1
14134127,14417449,1
11658686,20826307,1
6128274,10912333,1
4773756,5856886,1
6128274,17068622,1
19002156,20080077,1
7577030,23634465,1
15796840,23099329,1
732800,13940142,1
6068118,21125948,1
59823,61347,1
1605515,19002156,1
19344618,23098143,1
951388,1630148,1
5856886,7885446,1
1116,19565161,1
19002156,23098143,1
1347808,6403868,1
687106,7015918,1
14783950,17470307,1
5260867,14783950,1
4407823,4603629,1
14783950,23647453,1
6128274,10337387,1
82859,494838,1
501808,10600673,1
427727,21234510,1
4643706,11818436,1
732800,1605515,1
5150160,22102074,1
8804480,22102074,1
6087658,15297120,1
8722190,10062086,1
10264652,14899566,1
1158840,16583451,1
413620,10337387,1
11658686,23098143,1
12234839,21520698,1
1605515,5260867,1
3351872,17022288,1
21065519,23309807,1
19344618,23383764,1
10118207,20856391,1
1158840,7885446,1
20826307,23099329,1
10600673,19083029,1
11339042,14134127,1
160739,4773756,1
4603629,7087624,1
5927306,8680491,1
1446728,20080077,1
20924118,21161481,1
13940142,19344618,1
14783950,19660598,1
19979783,20953665,1
19002156,23188868,1
413620,1820410,1
82859,237568,1
427727,23098143,1
1158840,5260867,1
6195313,19565161,1
501808,23309803,1
12066447,20856391,1
598994,19002156,1
6068118,10912335,1
2775424,11499032,1
3861343,10337387,1
22582847,23160103,1
778875,14899566,1
732800,11277690,1
418257,732800,1
13122193,17470307,1
5472665,23160103,1
762814,6068118,1
6403868,21454371,1
598994,5260867,1
762814,771802,1
3456233,21520698,1
732800,13657103,1
66299,373673,1
3861343,7577030,1
2096403,4724024,1
1605515,1630148,1
5352578,10509561,1
3456233,4724024,1
501808,5150160,1
951388,17470307,1
8680491,13122193,1
501808,15297120,1
732800,21454371,1
160739,21454371,1
5472665,22582847,1
7577030,12783713,1
2775424,14783950,1
6087658,10509561,1
951388,2109483,1
413620,951388,1
18880061,20080077,1
19979783,23383764,1
11658686,14134127,1
19344618,20856391,1
1116,10600673,1
427727,15126545,1
10118207,19002156,1
501808,10509561,1
6068118,12783713,1
1630148,11339042,1
7655679,8931241,1
1347808,12783713,1
6128274,23383764,1
10254165,13122193,1
3861343,12783713,1
11277690,14899566,1
8702780,15126545,1
14134127,19002156,1
2775424,11277690,1
3109016,4407823,1
8702780,11277690,1
13356869,23634465,1
4643706,15796840,1
7885446,14783950,1
10062086,10509561,1
4603629,8931241,1
1008326,6037296,1
771802,15126545,1
4773756,23383764,1
160739,20924118,1
2109483,14134127,1
7577030,11658686,1
2941028,19002156,1
160739,12066447,1
1116,19301681,1
8680491,20826307,1
7885446,23099329,1
21454371,23647453,1
1347808,2941028,1
15297119,17022288,1
11499032,17068622,1
771802,11277690,1
15796840,21125948,1
19344618,20080077,1
4724024,23309803,1
11499032,11818436,1
598994,2941028,1
5953607,11339042,1
13122193,16900369,1
4643706,19002156,1
2775424,6403868,1
10337387,20953665,1
160739,20080077,1
6128274,11499032,1
5260867,15126545,1
10264652,10912335,1
13122193,14899566,1
5017412,7396681,1
4724024,21520698,1
10118207,12783713,1
